doc_id,rouge1,rouge2,rougeL
H05-1066,0.11072664359861592,0.0,0.11072664359861592
H05-1073,0.24767801857585142,0.04361370716510904,0.18575851393188855
H05-1079,0.10526315789473685,0.01932367149758454,0.06698564593301436
H05-1091,0.24000000000000005,0.03252032520325203,0.128
I05-2038,0.2037533512064343,0.021563342318059304,0.1394101876675603
I05-3017,0.18565400843881857,0.034042553191489355,0.11814345991561181
I05-3027,0.1357142857142857,0.0,0.11428571428571427
I08-1059,0.16117216117216118,0.014760147601476014,0.11721611721611722
J00-1004,0.5770750988142292,0.2788844621513944,0.458498023715415
J00-2004,0.16874135546334715,0.08599167822468792,0.08298755186721991
J00-3003,0.08239700374531835,0.0,0.06741573033707865
J00-3004,0.4411764705882353,0.1683168316831683,0.28431372549019607
J00-4003,0.32142857142857145,0.12727272727272726,0.26785714285714285
J00-4005,0.2095808383233533,0.04216867469879517,0.16167664670658682
J01-2001,0.3278688524590163,0.0858085808580858,0.22295081967213112
J01-2002,0.5812807881773399,0.3880597014925374,0.4532019704433498
J01-2004,0.5255474452554744,0.3455882352941177,0.48175182481751827
J01-3001,0.32238805970149254,0.1021021021021021,0.22686567164179103
J01-3003,0.5072463768115942,0.2554744525547445,0.3768115942028985
J01-4004,0.31730769230769235,0.17475728155339806,0.25
J02-1002,0.3250883392226148,0.13523131672597866,0.26148409893992935
J02-1003,0.6728971962616822,0.47619047619047616,0.6355140186915887
J02-2003,0.48437499999999994,0.3385826771653543,0.390625
J02-3001,0.34684684684684686,0.06787330316742081,0.1981981981981982
J02-4002,0.34739454094292804,0.14463840399002495,0.27791563275434245
J03-1002,0.30914826498422715,0.12063492063492062,0.22082018927444794
J03-1003,0.4639999999999999,0.25806451612903225,0.4
J03-1005,0.33707865168539325,0.06037735849056604,0.2247191011235955
J03-3002,0.19745222929936304,0.038461538461538464,0.15286624203821655
J03-3005,0.23430962343096234,0.0590717299578059,0.18410041841004185
J03-4003,0.48351648351648346,0.2730627306273063,0.3882783882783883
J03-4004,0.36314363143631434,0.08174386920980926,0.21138211382113822
J04-1002,0.29943502824858753,0.10227272727272728,0.22598870056497175
J04-1005,0.14705882352941174,0.0,0.08823529411764705
J04-2003,0.36893203883495146,0.09120521172638438,0.21359223300970873
J04-3002,0.25609756097560976,0.05521472392638037,0.16463414634146342
J04-4002,0.3318777292576419,0.14977973568281938,0.26200873362445415
J04-4004,0.15181518151815182,0.0,0.10561056105610561
J05-1003,0.15034168564920275,0.05949656750572082,0.13211845102505695
J05-3002,0.238244514106583,0.050473186119873815,0.18181818181818182
