doc_id,rouge1,rouge2,rougeL
J93-1002,0.056818181818181816,0.013282732447817839,0.03977272727272728
J93-1003,0.5784313725490197,0.4950495049504951,0.5588235294117647
J93-1004,0.24242424242424243,0.17798594847775176,0.20512820512820512
J93-1005,0.0,0.0,0.0
J93-1006,0.035182679296346414,0.01083276912660799,0.02706359945872801
J93-1007,0.24875621890547267,0.09999999999999999,0.1990049751243781
J93-2002,0.25888324873096447,0.1326530612244898,0.1370558375634518
J93-2003,0.44961240310077516,0.21298701298701297,0.3410852713178295
J93-2005,0.1951219512195122,0.059945504087193464,0.1897018970189702
J93-2006,0.16249999999999998,0.0,0.1
J93-3003,0.3945578231292517,0.16856492027334852,0.30839002267573695
J94-2001,0.5112781954887218,0.3476070528967255,0.4661654135338346
J94-3001,0.8051948051948051,0.618421052631579,0.7532467532467532
J94-4001,0.4027303754266212,0.30927835051546393,0.3481228668941979
J94-4002,0.1130952380952381,0.05373134328358209,0.08333333333333334
J94-4003,0.2849162011173184,0.11235955056179775,0.25139664804469275
J95-2002,0.06451612903225806,0.043478260869565216,0.05376344086021505
J95-2003,0.29577464788732394,0.014285714285714287,0.14084507042253522
J95-4004,0.45248868778280543,0.319634703196347,0.36199095022624433
J96-1001,0.31908831908831914,0.17191977077363899,0.23931623931623933
J96-1002,0.5,0.4727272727272727,0.48214285714285715
J96-2004,0.7738095238095238,0.5903614457831325,0.7142857142857143
J96-3004,0.07777777777777778,0.02920723226703755,0.05
J97-1002,0.15019762845849802,0.08764940239043825,0.15019762845849802
J97-1003,0.41509433962264153,0.3041825095057034,0.4
J97-1005,0.4,0.24623115577889446,0.35000000000000003
J97-2003,0.6982248520710058,0.5748502994011976,0.6272189349112426
J97-3002,0.5962264150943397,0.44106463878326996,0.5886792452830188
J97-3003,0.5989304812834224,0.4432432432432432,0.5561497326203209
J97-4005,0.19889502762430936,0.0782122905027933,0.143646408839779
J98-1006,0.12222222222222223,0.0,0.07777777777777778
J98-2001,0.0,0.0,0.0
J98-2002,0.4266666666666667,0.28699551569506726,0.40888888888888886
J98-2004,0.5751633986928104,0.45394736842105265,0.5163398692810457
J98-3005,0.11250000000000002,0.05063291139240506,0.08750000000000001
J98-4003,0.29411764705882354,0.13432835820895522,0.1911764705882353
J98-4004,0.18567639257294427,0.021333333333333333,0.16445623342175067
J99-1003,0.13105413105413105,0.011461318051575931,0.10256410256410256
J99-2004,0.3177083333333333,0.10471204188481675,0.23958333333333331
J99-3001,0.0,0.0,0.0
J99-4004,0.3864406779661017,0.14334470989761094,0.29152542372881357
J99-4005,0.31475409836065577,0.2046204620462046,0.27540983606557373
N01-1006,0.3005780346820809,0.08720930232558138,0.1676300578034682
N01-1008,0.055944055944055944,0.0,0.03263403263403263
N01-1011,0.2901960784313726,0.06324110671936758,0.18823529411764708
N01-1016,0.3722943722943723,0.061135371179039305,0.22510822510822506
N01-1020,0.0,0.0,0.0
N01-1021,0.1374570446735395,0.013840830449826988,0.07560137457044673
N01-1023,0.21160409556313992,0.03436426116838488,0.17747440273037543
N01-1024,0.13043478260869565,0.043795620437956206,0.10144927536231883
N01-1025,0.375,0.14084507042253522,0.20833333333333334
N01-1026,0.029411764705882353,0.0,0.029411764705882353
N03-1003,0.14482758620689656,0.013888888888888886,0.12413793103448277
N03-1014,0.19999999999999998,0.013422818791946308,0.11333333333333334
N03-1016,0.0,0.0,0.0
N03-1017,0.22284122562674094,0.04481792717086835,0.17270194986072424
N03-1020,0.1198501872659176,0.022641509433962263,0.1198501872659176
N03-1021,0.0035650623885918,0.0007135212272565109,0.0035650623885918
N03-1022,0.11683848797250859,0.02768166089965398,0.10996563573883161
N03-1024,0.22406639004149373,0.04184100418410042,0.13278008298755187
N03-1026,0.24875621890547261,0.040201005025125636,0.13930348258706468
N03-1028,0.13157894736842105,0.02654867256637168,0.07894736842105261
N03-1030,0.17968749999999997,0.023622047244094488,0.15624999999999997
N03-1033,0.1337386018237082,0.024464831804281346,0.1094224924012158
N03-2002,0.26356589147286824,0.0390625,0.13178294573643412
N04-1001,0.12056737588652482,0.0071428571428571435,0.0921985815602837
N04-1013,0.12389380530973453,0.017857142857142856,0.10619469026548674
N04-1014,0.16101694915254236,0.02564102564102564,0.11016949152542373
